ID,ln_LR
portfolio_1,-0.3501444276884584
portfolio_10,-0.2988083842595544
portfolio_11,-0.3733892218321553
portfolio_111,-0.34140199504359453
portfolio_112,-0.36608665773185367
portfolio_113,-0.33449686710648713
portfolio_114,-0.32964289820681936
portfolio_115,-0.38394004193770537
portfolio_116,-0.30533969794275323
portfolio_117,-0.38109153633828685
portfolio_118,-0.33952657532817443
portfolio_119,-0.4097524390802285
portfolio_12,-0.3447104409994134
portfolio_120,-0.3306692812583304
portfolio_13,-0.37489054912500364
portfolio_131,-0.3235664348872717
portfolio_132,-0.3332315595117234
portfolio_133,-0.31584651119339163
portfolio_134,-0.3780297814186861
portfolio_135,-0.3259158279808003
portfolio_136,-0.2785281920197287
portfolio_137,-0.32379657300633574
portfolio_138,-0.3521088827235825
portfolio_139,-0.3481263336100181
portfolio_14,-0.3791237055947188
portfolio_140,-0.34477803265534623
portfolio_15,-0.2747936045800904
portfolio_151,-0.34815364096867707
portfolio_152,-0.38584989887472493
portfolio_153,-0.32475003330253016
portfolio_154,-0.36780956862759195
portfolio_155,-0.3138307644952455
portfolio_156,-0.31064879872966417
portfolio_157,-0.3770244007939635
portfolio_158,-0.37922582947847105
portfolio_159,-0.4068327106504884
portfolio_16,-0.2981610211436833
portfolio_160,-0.3753092287062318
portfolio_17,-0.37466706733097266
portfolio_171,-0.39937963856145103
portfolio_172,-0.3521625750456501
portfolio_173,-0.3283014900378583
portfolio_174,-0.4015539696111053
portfolio_175,-0.3278537994219437
portfolio_176,-0.32727443381660054
portfolio_177,-0.27776204455960024
portfolio_178,-0.38411928336258716
portfolio_179,-0.345989300165049
portfolio_18,-0.3337539730380275
portfolio_180,-0.3132509468829011
portfolio_19,-0.3088611612034723
portfolio_191,-0.37727225433726186
portfolio_192,-0.37312019730856893
portfolio_193,-0.3334651465343281
portfolio_194,-0.2969172669261849
portfolio_195,-0.2662372160698416
portfolio_196,-0.29077830461472576
portfolio_197,-0.30007931314282155
portfolio_198,-0.29176474786983564
portfolio_199,-0.2531385218589192
portfolio_2,-0.397640556943172
portfolio_20,-0.3303833499801134
portfolio_200,-0.30190311409783493
portfolio_201,-0.31307871093844275
portfolio_202,-0.348334376683931
portfolio_203,-0.32807309844458277
portfolio_204,-0.35063047959925825
portfolio_205,-0.31483031598776545
portfolio_206,-0.3321402331662473
portfolio_207,-0.3582471334179101
portfolio_208,-0.3348896343375127
portfolio_209,-0.33999852595985397
portfolio_21,-0.3379884993454063
portfolio_210,-0.37186226978690884
portfolio_211,-0.3461540558731197
portfolio_212,-0.34349457175118225
portfolio_213,-0.3388995609282241
portfolio_214,-0.31962905189945084
portfolio_215,-0.37695902157120514
portfolio_216,-0.3790717085700875
portfolio_217,-0.34712152356839
portfolio_218,-0.3417298405248434
portfolio_219,-0.3385205830940286
portfolio_22,-0.3717775383850081
portfolio_220,-0.3234287849877996
portfolio_221,-0.3544698967901161
portfolio_222,-0.3478377129600089
portfolio_223,-0.3443759950147748
portfolio_224,-0.36886172131547007
portfolio_225,-0.3370616142186446
portfolio_226,-0.3456062910384923
portfolio_227,-0.35563468986116836
